Type;Class;Variable1;Variable2;Variable3;Frequency;Frequency_Difference
U;0;(Wind_Direction, Calm);(Weather_Condition, 'Mostly Cloudy');(Crossing, True);0.001;;
U;0;(Wind_Direction, SW);(Weather_Condition, 'Partly Cloudy');(Junction, True);0.001;;
U;0;(Street, local);(Wind_Direction, S);(Weather_Condition, Drizzle);0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, S);(Weather_Condition, Fair);0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, N);(Junction, True);0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NW);(Weather_Condition, Fair);0.001;;
U;0;(Weather_Condition, Fair);(Crossing, True);(Station, True);0.001;;
U;0;(Street, Interstate);(Wind_Direction, S);(Junction, True);0.001;;
U;0;(Street, large_local);(Wind_Direction, SE);(Crossing, True);0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, SE);(Weather_Condition, 'Mostly Cloudy');0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Mostly Cloudy');(Traffic_Signal, True);0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Mostly Cloudy');(Junction, True);0.001;;
U;0;(Street, large_local);(Wind_Direction, E);(Weather_Condition, 'Mostly Cloudy');0.001;;
U;0;(Wind_Direction, SW);(Weather_Condition, Clear);(Traffic_Signal, True);0.001;;
U;0;(Street, large_local);(Station, True);(Traffic_Signal, False);0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SE);(Junction, True);0.001;;
U;0;(Street, large_local);(Wind_Direction, SE);(Weather_Condition, Drizzle);0.001;;
U;0;(Street, large_local);(Wind_Direction, NE);(Junction, True);0.001;;
U;0;(Street, Highway);(Wind_Direction, N);(Junction, True);0.001;;
U;0;(Weather_Condition, 'Mostly Cloudy');(Crossing, True);(Sunrise_Sunset, Night);0.001;;
U;0;(Street, large_local);(Crossing, True);(Station, True);0.001;;
U;0;(Street, Beltway);(Wind_Direction, E);(Weather_Condition, Cloudy);0.001;;
U;0;(Street, Beltway);(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, S);0.001;;
U;0;(Wind_Direction, NE);(Crossing, True);(Traffic_Signal, False);0.001;;
U;0;(Street, Beltway);(Wind_Direction, W);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Street, Interstate);(Wind_Direction, S);(Weather_Condition, Drizzle);0.001;;
U;0;(Street, Interstate);(Weather_Condition, Drizzle);(Junction, True);0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, SW);(Weather_Condition, Clear);0.001;;
U;0;(Wind_Direction, SE);(Crossing, True);(Traffic_Signal, False);0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NE);(Weather_Condition, 'Mostly Cloudy');0.001;;
U;0;(Street, Interstate);(Wind_Direction, NE);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Mostly Cloudy');(Junction, True);0.001;;
U;0;(Wind_Direction, W);(Crossing, True);(Traffic_Signal, False);0.001;;
U;0;(Crossing, True);(Station, True);(Sunrise_Sunset, Night);0.001;;
U;0;(Wind_Direction, Variable);(Weather_Condition, Fair);(Sunrise_Sunset, Night);0.001;;
U;0;(Street, Beltway);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, E);0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, Clear);(Traffic_Signal, True);0.001;;
U;0;(Weather_Condition, 'Partly Cloudy');(Traffic_Signal, True);(Sunrise_Sunset, Night);0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NW);(Junction, True);0.001;;
U;0;(Street, large_local);(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, Variable);0.001;;
U;0;(Street, Beltway);(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Mostly Cloudy');0.001;;
U;0;(Wind_Direction, NW);(Weather_Condition, 'Mostly Cloudy');(Crossing, True);0.001;;
U;0;(Street, Highway);(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, Variable);0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, N);(Weather_Condition, Fair);0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, Variable);(Sunrise_Sunset, Night);0.001;;
U;0;(Street, Beltway);(Wind_Direction, NE);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Street, large_local);(Wind_Direction, N);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, NW);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Crossing, True);(Station, True);(Traffic_Signal, False);0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NE);(Crossing, True);0.001;;
U;0;(Street, Beltway);(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NW);0.001;;
U;0;(Weather_Condition, Fair);(Station, True);(Sunrise_Sunset, Night);0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, N);(Junction, True);0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, S);(Weather_Condition, Fair);0.001;;
U;0;(Wind_Direction, NE);(Weather_Condition, 'Partly Cloudy');(Sunrise_Sunset, Night);0.001;;
U;0;(Street, large_local);(Wind_Direction, NE);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Street, local);(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Street, local);(Wind_Direction, SW);(Junction, True);0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, 'Partly Cloudy');(Junction, True);0.001;;
U;0;(Street, large_local);(Wind_Direction, SW);(Weather_Condition, Drizzle);0.001;;
U;0;(Street, Highway);(Wind_Direction, N);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, S);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Street, large_local);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, Variable);0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SE);(Weather_Condition, Fair);0.001;;
U;0;(Amenity, True);(Crossing, True);(Traffic_Signal, True);0.001;;
U;0;(Street, Beltway);(Wind_Direction, S);(Weather_Condition, Drizzle);0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Fog);(Traffic_Signal, True);0.001;;
U;0;(Wind_Direction, S);(Crossing, True);(Sunrise_Sunset, Night);0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, E);(Junction, True);0.001;;
U;0;(Weather_Condition, Fair);(Amenity, True);(Crossing, False);0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, S);(Junction, True);0.001;;
U;0;(Street, large_local);(Weather_Condition, Drizzle);(Traffic_Signal, True);0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, S);(Weather_Condition, 'Mostly Cloudy');0.001;;
U;0;(Street, large_local);(Amenity, True);(Traffic_Signal, True);0.001;;
U;0;(Weather_Condition, Fog);(Crossing, False);(Traffic_Signal, True);0.001;;
U;0;(Wind_Direction, SW);(Weather_Condition, 'Partly Cloudy');(Traffic_Signal, True);0.001;;
U;0;(Street, local);(Weather_Condition, Fair);(Amenity, True);0.001;;
U;0;(Wind_Direction, S);(Weather_Condition, 'Mostly Cloudy');(Junction, True);0.001;;
U;0;(Street, Beltway);(Wind_Direction, W);(Weather_Condition, Cloudy);0.001;;
U;0;(Street, Beltway);(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Mostly Cloudy');0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, E);(Weather_Condition, 'Mostly Cloudy');0.001;;
U;0;(Wind_Direction, SE);(Weather_Condition, Clear);(Traffic_Signal, True);0.001;;
U;0;(Street, large_local);(Amenity, True);(Crossing, False);0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, NE);(Weather_Condition, Fair);0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, 'Heavy Rain');(Traffic_Signal, False);0.001;;
U;0;(Street, Highway);(Weather_Condition, 'Partly Cloudy');(Traffic_Signal, True);0.001;;
U;0;(Wind_Direction, Variable);(Weather_Condition, 'Mostly Cloudy');(Sunrise_Sunset, Night);0.001;;
U;0;(Street, local);(Wind_Direction, E);(Crossing, True);0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Scattered Clouds');0.001;;
U;0;(Wind_Direction, Variable);(Weather_Condition, Drizzle);(Crossing, False);0.001;;
U;0;(Street, Interstate);(Wind_Direction, Variable);(Weather_Condition, Cloudy);0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Station, True);(Sunrise_Sunset, Day);0.001;;
U;0;(Street, Highway);(Wind_Direction, E);(Junction, True);0.001;;
U;0;(Wind_Direction, SW);(Weather_Condition, 'Scattered Clouds');(Sunrise_Sunset, Night);0.001;;
U;0;(Street, Highway);(Humidity(_%), '\'(82.5-93.5]\'');(Crossing, True);0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, 'Mostly Cloudy');(Crossing, True);0.001;;
U;0;(Wind_Direction, Variable);(Weather_Condition, Drizzle);(Traffic_Signal, False);0.001;;
U;0;(Street, Beltway);(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, E);0.001;;
U;0;(Street, large_local);(Wind_Direction, Variable);(Weather_Condition, Cloudy);0.001;;
U;0;(Street, Interstate);(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, Variable);0.001;;
U;0;(Weather_Condition, 'Partly Cloudy');(Station, True);(Sunrise_Sunset, Day);0.001;;
U;0;(Street, Highway);(Wind_Direction, Variable);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Street, large_local);(Wind_Direction, NE);(Crossing, True);0.001;;
U;0;(Wind_Direction, NE);(Weather_Condition, Drizzle);(Junction, True);0.001;;
U;0;(Wind_Direction, E);(Crossing, True);(Traffic_Signal, False);0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, NW);(Crossing, True);0.001;;
U;0;(Street, local);(Wind_Direction, SE);(Junction, True);0.001;;
U;0;(Street, large_local);(Weather_Condition, Drizzle);(Junction, True);0.001;;
U;0;(Wind_Direction, SW);(Weather_Condition, 'Mostly Cloudy');(Crossing, True);0.001;;
U;0;(Street, Beltway);(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, E);0.001;;
U;0;(Wind_Direction, W);(Weather_Condition, 'Partly Cloudy');(Traffic_Signal, True);0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SW);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, SE);(Weather_Condition, Clear);0.001;;
U;0;(Street, Highway);(Wind_Direction, NW);(Crossing, True);0.001;;
U;0;(Street, Interstate);(Wind_Direction, E);(Junction, True);0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, S);(Traffic_Signal, True);0.001;;
U;0;(Wind_Direction, NE);(Weather_Condition, Drizzle);(Traffic_Signal, True);0.001;;
U;0;(Wind_Direction, NE);(Weather_Condition, Fair);(Crossing, True);0.001;;
U;0;(Wind_Direction, SE);(Weather_Condition, Cloudy);(Crossing, True);0.001;;
U;0;(Wind_Direction, Calm);(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.001;;
U;0;(Wind_Direction, E);(Weather_Condition, Cloudy);(Junction, True);0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NE);(Weather_Condition, Fair);0.001;;
U;0;(Street, local);(Wind_Direction, SW);(Stop, True);0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, Variable);(Weather_Condition, 'Mostly Cloudy');0.001;;
U;0;(Street, Highway);(Weather_Condition, Cloudy);(Crossing, True);0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, S);(Junction, True);0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Station, True);(Traffic_Signal, True);0.001;;
U;0;(Weather_Condition, Fair);(Amenity, True);(Traffic_Signal, True);0.001;;
U;0;(Wind_Direction, SW);(Crossing, True);(Sunrise_Sunset, Night);0.001;;
U;0;(Street, Interstate);(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Street, large_local);(Wind_Direction, Variable);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, Calm);(Stop, True);0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NE);(Crossing, True);0.001;;
U;0;(Street, Beltway);(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Street, Beltway);(Wind_Direction, E);(Weather_Condition, 'Mostly Cloudy');0.001;;
U;0;(Street, Beltway);(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, W);0.001;;
U;0;(Weather_Condition, Cloudy);(Station, True);(Traffic_Signal, False);0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, N);(Weather_Condition, Fair);0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, SE);(Crossing, True);0.000;;
U;0;(Weather_Condition, 'Partly Cloudy');(Crossing, True);(Sunrise_Sunset, Night);0.000;;
U;0;(Street, Highway);(Wind_Direction, N);(Traffic_Signal, True);0.000;;
U;0;(Street, local);(Amenity, True);(Crossing, True);0.000;;
U;0;(Street, large_local);(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Mostly Cloudy');(Crossing, True);0.000;;
U;0;(Street, local);(Wind_Direction, Variable);(Weather_Condition, 'Partly Cloudy');0.000;;
U;0;(Crossing, False);(Junction, True);(Traffic_Signal, True);0.000;;
U;0;(Street, local);(Weather_Condition, Drizzle);(Junction, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Station, True);(Sunrise_Sunset, Day);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, N);(Traffic_Signal, True);0.000;;
U;0;(Street, Highway);(Visibility(mi), '\'(-inf-9.5]\'');(Crossing, True);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, SW);(Weather_Condition, 'Scattered Clouds');0.000;;
U;0;(Street, local);(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Heavy Rain');0.000;;
U;0;(Wind_Direction, NW);(Weather_Condition, Fair);(Stop, True);0.000;;
U;0;(Street, Interstate);(Wind_Direction, Variable);(Weather_Condition, Drizzle);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, S);(Weather_Condition, Clear);0.000;;
U;0;(Street, Beltway);(Wind_Direction, Calm);(Weather_Condition, Drizzle);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, NW);(Weather_Condition, 'Scattered Clouds');0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NE);(Weather_Condition, 'Partly Cloudy');0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, E);(Junction, True);0.000;;
U;0;(Street, Interstate);(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, 'Heavy Rain');0.000;;
U;0;(Wind_Direction, SE);(Weather_Condition, Drizzle);(Junction, True);0.000;;
U;0;(Street, large_local);(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, Variable);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Partly Cloudy');(Junction, True);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NW);(Weather_Condition, 'Scattered Clouds');0.000;;
U;0;(Wind_Direction, W);(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.000;;
U;0;(Wind_Direction, E);(Weather_Condition, Cloudy);(Crossing, True);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Amenity, True);(Traffic_Signal, False);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, NE);(Weather_Condition, 'Partly Cloudy');0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, E);(Junction, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Station, True);(Traffic_Signal, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NE);(Weather_Condition, Fair);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NW);(Weather_Condition, 'Partly Cloudy');0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Partly Cloudy');(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, Calm);(Weather_Condition, Drizzle);(Junction, True);0.000;;
U;0;(Wind_Direction, SE);(Weather_Condition, 'Mostly Cloudy');(Crossing, True);0.000;;
U;0;(Weather_Condition, Drizzle);(Crossing, True);(Traffic_Signal, False);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, SE);(Crossing, True);0.000;;
U;0;(Weather_Condition, 'Partly Cloudy');(Station, True);(Traffic_Signal, True);0.000;;
U;0;(Street, large_local);(Weather_Condition, Drizzle);(Crossing, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, E);(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, NE);(Crossing, True);(Sunrise_Sunset, Night);0.000;;
U;0;(Street, Highway);(Wind_Direction, E);(Traffic_Signal, True);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, NE);(Weather_Condition, Fog);0.000;;
U;0;(Wind_Direction, S);(Weather_Condition, Drizzle);(Junction, True);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Partly Cloudy');(Junction, True);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, Variable);(Weather_Condition, 'Mostly Cloudy');0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, W);(Traffic_Signal, True);0.000;;
U;0;(Weather_Condition, Cloudy);(Crossing, False);(Station, True);0.000;;
U;0;(Street, local);(Wind_Direction, S);(Junction, True);0.000;;
U;0;(Wind_Direction, E);(Weather_Condition, 'Mostly Cloudy');(Junction, True);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, E);(Traffic_Signal, True);0.000;;
U;0;(Street, local);(Weather_Condition, 'Partly Cloudy');(Junction, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, Variable);(Weather_Condition, Cloudy);0.000;;
U;0;(Wind_Direction, NE);(Weather_Condition, 'Partly Cloudy');(Junction, True);0.000;;
U;0;(Street, large_local);(Wind_Direction, NW);(Station, True);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, N);(Weather_Condition, 'Partly Cloudy');0.000;;
U;0;(Wind_Direction, SW);(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.000;;
U;0;(Wind_Direction, SW);(Amenity, True);(Crossing, False);0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, Cloudy);(Crossing, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Mostly Cloudy');(Crossing, True);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, E);(Weather_Condition, Fair);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Fog);(Crossing, True);0.000;;
U;0;(Street, Highway);(Wind_Direction, SW);(Crossing, True);0.000;;
U;0;(Wind_Direction, SE);(Weather_Condition, Drizzle);(Traffic_Signal, True);0.000;;
U;0;(Street, local);(Junction, True);(Traffic_Signal, True);0.000;;
U;0;(Street, Beltway);(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, 'Partly Cloudy');(Traffic_Signal, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SE);(Weather_Condition, 'Heavy Rain');0.000;;
U;0;(Street, large_local);(Weather_Condition, Cloudy);(Station, True);0.000;;
U;0;(Street, large_local);(Wind_Direction, Variable);(Weather_Condition, Drizzle);0.000;;
U;0;(Street, Beltway);(Wind_Direction, SW);(Weather_Condition, Drizzle);0.000;;
U;0;(Weather_Condition, Cloudy);(Station, True);(Sunrise_Sunset, Night);0.000;;
U;0;(Wind_Direction, E);(Weather_Condition, 'Mostly Cloudy');(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, Variable);(Weather_Condition, 'Partly Cloudy');(Sunrise_Sunset, Night);0.000;;
U;0;(Street, Highway);(Wind_Direction, S);(Crossing, True);0.000;;
U;0;(Street, large_local);(Weather_Condition, 'Partly Cloudy');(Station, True);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, N);(Weather_Condition, 'Partly Cloudy');0.000;;
U;0;(Wind_Direction, SW);(Weather_Condition, Drizzle);(Junction, True);0.000;;
U;0;(Wind_Direction, NE);(Weather_Condition, 'Mostly Cloudy');(Crossing, True);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Crossing, True);(Station, True);0.000;;
U;0;(Street, local);(Weather_Condition, 'Heavy Rain');(Traffic_Signal, False);0.000;;
U;0;(Street, local);(Wind_Direction, N);(Junction, True);0.000;;
U;0;(Wind_Direction, NE);(Weather_Condition, Clear);(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, NW);(Weather_Condition, Drizzle);(Traffic_Signal, True);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, E);(Weather_Condition, Fair);0.000;;
U;0;(Wind_Direction, SW);(Amenity, True);(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, S);(Station, True);(Sunrise_Sunset, Day);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, S);(Crossing, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NW);(Stop, True);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, Fair);(Amenity, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Fair);(Stop, True);0.000;;
U;0;(Wind_Direction, NE);(Weather_Condition, Drizzle);(Crossing, True);0.000;;
U;0;(Wind_Direction, Variable);(Crossing, True);(Traffic_Signal, False);0.000;;
U;0;(Street, large_local);(Humidity(_%), '\'(93.5-inf)\'');(Station, True);0.000;;
U;0;(Weather_Condition, 'Partly Cloudy');(Crossing, True);(Station, True);0.000;;
U;0;(Wind_Direction, SW);(Weather_Condition, Drizzle);(Traffic_Signal, True);0.000;;
U;0;(Street, local);(Wind_Direction, NE);(Station, True);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, Variable);(Weather_Condition, Fair);0.000;;
U;0;(Wind_Direction, NE);(Station, True);(Traffic_Signal, False);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, N);(Crossing, True);0.000;;
U;0;(Street, local);(Wind_Direction, SW);(Amenity, True);0.000;;
U;0;(Street, large_local);(Visibility(mi), '\'(-inf-9.5]\'');(Station, True);0.000;;
U;0;(Street, Highway);(Weather_Condition, 'Mostly Cloudy');(Crossing, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Crossing, True);(Station, True);0.000;;
U;0;(Street, Highway);(Wind_Direction, E);(Crossing, True);0.000;;
U;0;(Wind_Direction, Calm);(Junction, True);(Traffic_Signal, True);0.000;;
U;0;(Weather_Condition, Cloudy);(Amenity, True);(Crossing, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NE);(Weather_Condition, 'Partly Cloudy');0.000;;
U;0;(Street, Highway);(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.000;;
U;0;(Street, large_local);(Wind_Direction, Calm);(Stop, True);0.000;;
U;0;(Wind_Direction, NE);(Weather_Condition, 'Partly Cloudy');(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, SE);(Weather_Condition, 'Heavy Rain');(Traffic_Signal, False);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, Cloudy);(Stop, True);0.000;;
U;0;(Wind_Direction, S);(Station, True);(Traffic_Signal, True);0.000;;
U;0;(Street, Highway);(Humidity(_%), '\'(93.5-inf)\'');(Stop, True);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, Variable);(Weather_Condition, 'Partly Cloudy');0.000;;
U;0;(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');(Junction, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Junction, True);(Traffic_Signal, True);0.000;;
U;0;(Street, large_local);(Weather_Condition, Cloudy);(Amenity, True);0.000;;
U;0;(Street, large_local);(Humidity(_%), '\'(82.5-93.5]\'');(Amenity, True);0.000;;
U;0;(Street, Highway);(Wind_Direction, W);(Crossing, True);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Amenity, True);(Crossing, True);0.000;;
U;0;(Wind_Direction, NE);(Crossing, True);(Station, True);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, E);(Crossing, True);0.000;;
U;0;(Wind_Direction, Variable);(Traffic_Signal, True);(Sunrise_Sunset, Night);0.000;;
U;0;(Wind_Direction, S);(Weather_Condition, Fair);(Stop, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SW);(Weather_Condition, 'Scattered Clouds');0.000;;
U;0;(Street, Highway);(Wind_Direction, NE);(Crossing, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Fair);(Station, True);0.000;;
U;0;(Junction, True);(Traffic_Signal, True);(Sunrise_Sunset, Night);0.000;;
U;0;(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.000;;
U;0;(Wind_Direction, NW);(Weather_Condition, 'Partly Cloudy');(Station, True);0.000;;
U;0;(Street, large_local);(Wind_Direction, NW);(Stop, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SE);(Crossing, True);0.000;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, W);(Crossing, True);0.000;;
U;0;(Crossing, True);(Junction, True);(Traffic_Signal, False);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');0.000;;
U;0;(Street, local);(Wind_Direction, E);(Junction, True);0.000;;
U;0;(Wind_Direction, Calm);(Weather_Condition, Cloudy);(Stop, True);0.000;;
